"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2591.36/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x2d80f81056115663be3cd8b3a3db2029f27c35775412aad7605faa0f2c11e7df","14252088","1645482154","2022-02-21 22:22:34","0xd7e5e1c0cb9540669d8f22f71c9540460db23938","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.013752357607225452","35.6373094090597","2570.15","","","Owner Mint",""
"0x77aa52c57981568fbfde6c985ba271f710e53e586f1db55901c05d187713d1b3","14263708","1645637936","2022-02-23 17:38:56","0xfa610f8304909a90b1760cf8b50cc1fde6ea1f5c","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.002626964582712975","6.8074109410591","2580.97","Error(0)","Reverted","Set Provenance Hash",""
"0x27298beaf17cc9fcc236359a1474463e45af019c39af78aa01e15962d5b29b77","14264570","1645649087","2022-02-23 20:44:47","0xf7321609db01389294d973d37587ef89eb8be2c5","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.003745036865151188","9.70473873087818","2580.97","","","Set Approval For All",""
"0x65febbe651d5dd5f045fe4b5ba55f333d7b6b654d447bfa973ed9e5c21890349","14264589","1645649273","2022-02-23 20:47:53","0xd7e5e1c0cb9540669d8f22f71c9540460db23938","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.016333382795459","42.3256748408406","2580.97","","","Owner Mint",""
"0xecc8f669cb29a9bc38e63c407b1eef9a7177d8a617d7cfbd8ac90589f4c7146f","14264656","1645650167","2022-02-23 21:02:47","0x979877cc5bda0850383e8792fb942e4a82f97972","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.003106497529719884","8.05005343861492","2580.97","","","Set Approval For All",""
"0x8ffd0279301298e3401851caf9b0723c8282036886a4781a4bc417dec3d82055","14264688","1645650605","2022-02-23 21:10:05","0x2a5434f33d621331552e368f8e5b685d6d055588","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.004072043036769358","10.5521294437626","2580.97","","","Set Approval For All",""
"0xda3a8d204ed947071187fb63879400c713fbdf534728e6bd3d15c271f275a0c1","14264698","1645650762","2022-02-23 21:12:42","0xd7e5e1c0cb9540669d8f22f71c9540460db23938","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.00748829804412726","19.4048760196296","2580.97","","","Set Provenance Hash",""
"0xd9cb36197f3a604cb2b484c5c2d9795e65ce51fce33e1137052e2e9ebe9bfd41","14264716","1645651044","2022-02-23 21:17:24","0xd7e5e1c0cb9540669d8f22f71c9540460db23938","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.00375948677209406","9.74218364173366","2580.97","","","Set Merkle Proof",""
"0xd5120ef276a2874445651330018f4f67a6ddf16a6c228f68b78629b0989b4ce1","14264743","1645651438","2022-02-23 21:23:58","0x5b97106fa5d8686a447b3bc6a98fd0fba35dd314","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.003520885896161406","9.12388287587682","2580.97","","","Set Approval For All",""
"0x43056bf32fa8679a8eae57f4c5561ae83372cb9f3bc3e565174cba5de4be1523","14264799","1645652044","2022-02-23 21:34:04","0xabf84116200e0a67d4d6673f6ace1da3f8a216f3","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.002294115056652898","5.94487799320805","2580.97","","","Set Approval For All",""
"0xcba6293688fc04060be1f198e5a8a1d35343e177bf168b8c8c460491deb95347","14264845","1645652613","2022-02-23 21:43:33","0x15b3397c80cf3dd90daba5767eaefdf120729793","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.004270169107328006","11.0655454179655","2580.97","","","Set Approval For All",""
"0x7b69c9b4b6571469bb8da14268e59d08000a8a75db78ae31718e2cc8e4220219","14264852","1645652758","2022-02-23 21:45:58","0x5ec054b3dab5e84c851f2eacbf9f58bb64daac01","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.0047160286210626","12.2209279274768","2580.97","","","Set Approval For All",""
"0x4406b38055c0c1c9297a6416d9fd76d4c06091e9f407a9e0a3388a4353dd045c","14264852","1645652758","2022-02-23 21:45:58","0x15b3397c80cf3dd90daba5767eaefdf120729793","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.0026968158847326","6.98842081106067","2580.97","","","Set Approval For All",""
"0x4e8e4e41fe7e02a9e7b93651def9a3a4366a94a14eeb063ee17517d479e4d4e0","14264855","1645652783","2022-02-23 21:46:23","0xad5116d1f9f3d2816935b0df95a58750745eb308","0x59468516a8259058bad1ca5f8f4bff190d30e066","","0","0","0","0.004491922234978846","11.6401876028348","2580.97","","","Set Approval For All",""
