"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2792.79/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x431c16baf321e9185838c7c31e0923c92328f8d288abf2bd8f32ce4ccb0b872d","14119207","1643705788","2022-02-01 08:56:28","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x709bbddd3338fda95634051a74e048e7271fa5c5","","0","50","139639.5","0.002121346913952","5.92447644781601","2790.15","","","Transfer",""
"0xe1849128aee5b196fad51151c7b3493d983666d3e4f1784607fbb64d99112f07","14123231","1643759502","2022-02-01 23:51:42","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.127","354.68433","0.114450295216025088","319.635639976363","2790.15","","","Atomic Match_",""
"0x6c1ec09fddeed7bbf532c961e51deedab0570aa7885432774bd320e72874e7ca","14125037","1643783604","2022-02-02 06:33:24","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x92b1cfed0375a8bce52fbe938a4e4c8e83979981","","0","0","0","0.00995418608525145","27.7999513570294","2681.11","","","Safe Transfer From",""
"0x9fea9e5796eed9f36b8b4e92b3c195beed6a06ac2c3abdc0f2393dff2c8874b6","14127981","1643823114","2022-02-02 17:31:54","0xe2b5942e014215eb42ecd00d5779a039418cf51f","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","","1.6","0","4468.464","0.008954680407015","25.0085418939074","2681.11","","","Transfer",""
"0x8850b5fa34b1446e6e31bd214773fc4f24840bdfb42edb2ac47edfc1c9d1b9c7","14128014","1643823485","2022-02-02 17:38:05","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef","","0","0.4","1117.116","0.053610924839625692","149.724054782858","2681.11","","","Mint NFT",""
"0xc25a2244f9d9e03983955a72b8679e92c19f7d34b9e95db31f392673dd155bd5","14128182","1643825760","2022-02-02 18:16:00","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0","0","0.008933094331952716","24.9482565193342","2681.11","","","Approve",""
"0xe8d266350f91bc7dc4ab3545c55f50ec34fc9fc7e7f8c460dd0efcf9aed8ee91","14128184","1643825790","2022-02-02 18:16:30","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.042898192288896892","119.805642442508","2681.11","","","Atomic Match_",""
"0x95b4b10c87b5af7e6cba1bc4e847f8262ad495d78d25c39cba1e7da7fa1fe002","14128192","1643825918","2022-02-02 18:18:38","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0","0","0.005139868157334592","14.3545723911225","2681.11","","","Withdraw",""
"0xb492a74497f02cb432aa7571b409d4e3a32f8eeb57b9458edcf59327f90ff4fd","14128671","1643832225","2022-02-02 20:03:45","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.04870124904984444","136.012361333915","2681.11","","","Atomic Match_",""
"0x67426416f8cdbee12ec88f98ec649aea504b286e02580124d9be770903eae2f5","14128675","1643832265","2022-02-02 20:04:25","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0","0","0.004723082240010704","13.1905768490795","2681.11","","","Withdraw",""
"0xc63b9ee2761aa0005d4cd01fefedca3642fd68d689e7b41a33d437f77ba7226a","14134627","1643912477","2022-02-03 18:21:17","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x4008ceb985456a8571c0e7a281c3536a548fee85","","0","0","0","0.011117503446231637","31.0488524496013","2697.18","","","Transfer From",""
"0x8ed9c1fecafc72392523d490dce84d90784753d4993041ce7cf1ecb50286569f","14135069","1643918443","2022-02-03 20:00:43","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x47e312d99c09ce61a866c83cbbbbed5a4b9d33e7","","0","0.025","69.81975","0.209853792782149372","586.077573944059","2697.18","","","Purchase",""
"0x55790394ad4856b86507e015b110e58463680f59a83fb5b44336017b876d755d","14135071","1643918457","2022-02-03 20:00:57","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x47e312d99c09ce61a866c83cbbbbed5a4b9d33e7","","0","0.025","69.81975","0.2212599257339956","617.932507990646","2697.18","","","Purchase",""
"0x9eb7bb7eae3b167f5f2889740c11cb47ca8afb9abef3dfce5fe5b32066862828","14135773","1643927984","2022-02-03 22:39:44","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270","","0","0","0","0.004520026441829912","12.6234846464782","2697.18","","","Set Approval For All",""
"0xf3c650283067f39a6f816b33bd791613a32c5529d1a536a791c4b5ed8a094958","14141047","1643998173","2022-02-04 18:09:33","0xdad5eba92ad2bc791994ff0c9f4facfc6427354e","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","","7","0","19549.53","0.004076934100974","11.3860207878592","2997.18","","","Transfer",""
"0x2b9a1f8cb2c3d2a36cdd58658170e3c9eeeb00aa8e6be74a66cfda7fba92b1ae","14144905","1644049507","2022-02-05 08:25:07","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x9e67be385ce0aba7f65f7b8b95a5a3fea7e26498","","0","20","55855.8","0.001297146225753","3.62265700782072","3015.26","","","Transfer",""
"0xdaa960c8984c60d188915a2a1a37d4174aaa1355a7436bfae9a478f16c7a3b27","14144923","1644049737","2022-02-05 08:28:57","0x9e67be385ce0aba7f65f7b8b95a5a3fea7e26498","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","","5.5","0","15360.345","0.001176187021443","3.2848433516158","3015.26","","","Transfer",""
"0x2a1f670116999ea0990663877c3e4d920e2fd23ba5dfd07a792010db2ff95752","14144957","1644050263","2022-02-05 08:37:43","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x30d0fdfe52dbc07884a6a53f0d78e7a2defc4f72","","0","2.4","6702.696","0.001440463241763","4.02291133696329","3015.26","","","Transfer",""
"0x26191911a89e5544299d87f3f3d5d7a9716c95845b5068472735b7d8ae5db20e","14144959","1644050299","2022-02-05 08:38:19","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0xddd5e5d58fbe3a0573bc88c0fffe15a0ed8a632c","","0","2.4","6702.696","0.001495514576451","4.17665815396659","3015.26","","","Transfer",""
"0x6c0ad91fcf8e39585784c366fbb0bd61352ac7e58486e7c5ee794a08b0bd6472","14144960","1644050316","2022-02-05 08:38:36","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x6bf85b4100129f26f52ec8846956f4e0f7917b7f","","0","3.1","8657.649","0.001478192770803","4.12828198837091","3015.26","","","Transfer",""
"0x5b81c1981b4b47bdfc4f2decebcb88abb44c796982d73da566093a650d0d00c8","14154457","1644176612","2022-02-06 19:43:32","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x87e738a3d5e5345d6212d8982205a564289e6324","","0","0","0","0.004805608503719682","13.4210553731033","3057.68","","","Set Approval For All",""
"0x9a25f8da80161b348c9fa59e167ae2c05186e0fff19f8b5b7f9fde7c71667d7e","14154746","1644180336","2022-02-06 20:45:36","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x966731dfd9b9925dd105ff465687f5aa8f54ee9f","","0","0","0","0.004769235101540997","13.3194720992327","3057.68","","","Set Approval For All",""
"0x50002604ea7a194a58479ccf41686c569e325243e0667ae94af6146ed3f8e281","14154877","1644182188","2022-02-06 21:16:28","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.085","237.38715","0.0196286654297037","54.8187405254222","3057.68","","","Atomic Match_",""
"0x601f9315afa209ef0932e242d90632d4c8c147abaf57309032dc0407372cd158","14154889","1644182316","2022-02-06 21:18:36","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.08","223.4232","0.020480572959820192","57.1979393564562","3057.68","","","Atomic Match_",""
"0x59457c135bcf62112af9308fe2a117b667980f95b235ab4210283410e1375cc8","14154895","1644182420","2022-02-06 21:20:20","0x849bf0f2f0d2630b66f1f94ca03a861f4d56c274","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.079","220.63041","0.022629615079949784","63.199762699133","3057.68","","","Atomic Match_",""
